addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x01ffe684	NO-SLOT	-	-	-	__aeabi_uldivmod	data	no-slot		
0x02004800	DIVERGED	arm9	Entry	function	_start	function	plain		
0x02004b00	NO-SLOT	-	-	-	OBJ_TO_ACTOR_ID_TABLE	data	no-slot		
0x02004ffc	NO-SLOT	-	-	-	DL_PTR_ARR_PTR	data	no-slot		
0x02006590	NO-SLOT	-	-	-	ACTOR_SPAWN_TABLE	data	no-slot		
0x02008c34	NO-SLOT	-	-	-	_ZN4cstd4finvEi	data	no-slot		
0x0200e444	DIVERGED	arm9	Camera_Spawn	function	_ZN6CameraC1Ev	function	plain		
0x0201609c	DIVERGED	arm9	_ZN11CommonModel12SetPolygonIDEj	function	_ZN11CommonModel13Func_0201609CEj	function	identity		
0x02017168	DIVERGED	arm9	_ZThn80_N9ModelAnimD0Ev	function	_ZThn80_N9AnimationD0Ev	function	identity		
0x02017178	DIVERGED	arm9	_ZThn80_N9ModelAnimD1Ev	function	_ZThn80_N9AnimationD1Ev	function	identity		
0x02017188	DIVERGED	arm9	_ZThn80_N14BlendModelAnimD0Ev	function	_ZThn80_N9AnimationD0Ev	function	identity		
0x02017198	DIVERGED	arm9	_ZThn80_N14BlendModelAnimD1Ev	function	_ZThn80_N9AnimationD1Ev	function	identity		
0x020171a8	DIVERGED	arm9	_ZThn80_N10ModelAnim2D0Ev	function	_ZThn80_N9AnimationD0Ev	function	identity		
0x020171b8	DIVERGED	arm9	_ZThn80_N10ModelAnim2D1Ev	function	_ZThn80_N9AnimationD1Ev	function	identity		
0x02017574	DIVERGED	arm9	_ZN10FaderColorD2Ev	function	_ZN5ColorD1Ev	function	identity		
0x020230d8	NO-SLOT	-	-	-	PARTICLE_SPA_FILE	data	no-slot		
0x02023598	DIVERGED	arm9	_ZN9BootSceneD1Ev	function	_ZN5SceneD2Ev	function	identity		
0x020235d4	DIVERGED	arm9	_ZN9BootSceneD0Ev	function	_ZN5SceneD0Ev	function	identity		
0x0202b6f0	NO-SLOT	-	-	-	Geometry_WriteFogTable	data	no-slot		
0x0202e088	DIVERGED	arm9	Stage_Spawn	function	_ZN5StageC1Ev	function	plain		
0x02038018	DIVERGED	arm9	_ZN5dBgPiaSERKS_	function	_ZN10ClsnResultaSERKS_	function	plain		
0x0203cc0c	CONFIG-PLACEHOLDER	arm9	func_0203cc0c	function	_Znwj	function	placeholder		
0x02043444	DIVERGED	arm9	_ZN7fBase_cnwEj	function	_ZN9ActorBasenwEj	function	plain		
0x020469ac	DIVERGED	arm9	_ZN9Animation17UpdateFileOffsetsER8BCA_File	function	_ZN9Animation17UpdateFileOffsets_ZN9AnimationER8BCA_File	function	plain		
0x0204df54	CONFIG-PLACEHOLDER	arm9	func_0204df54	function	_ZN13HeapAllocatorC1EjPvPvj	function	placeholder		
0x02052551	NO-SLOT	-	-	-	Matrix3x3_SetRotationX	data	no-slot		
0x0205256d	NO-SLOT	-	-	-	Matrix3x3_SetRotationY	data	no-slot		
0x020527e9	NO-SLOT	-	-	-	Matrix4x3_FromScale	data	no-slot		
0x0206d9dc	NO-SLOT	-	-	-	_ZN3IRQ11SetFIQStateEb	data	no-slot		
0x0206da28	NO-SLOT	-	-	-	_ZN3IRQ11SetIRQStateEb	data	no-slot		
0x02075264	CONFIG-PLACEHOLDER	arm9	data_02075264	data	LEVEL_PART_TABLE	data	placeholder		
0x020755a0	CONFIG-PLACEHOLDER	arm9	data_020755a0	data	_ZN3OAM8objWidthE	data	placeholder		
0x020755ac	CONFIG-PLACEHOLDER	arm9	data_020755ac	data	_ZN3OAM9objHeightE	data	placeholder		
0x02075804	CONFIG-PLACEHOLDER	arm9	data_02075804	data	ACTOR_BANK_OVL_MAP	data	placeholder		
0x020758c8	CONFIG-PLACEHOLDER	arm9	data_020758c8	data	LEVEL_OVL_MAP	data	placeholder		
0x02075d14	CONFIG-PLACEHOLDER	arm9	data_02075d14	data	UTF16_TO_FONT_TABLE	data	placeholder		
